year,total_tkm,change_vs_prev,change_pct
1999,268973.0,,
2000,271023.0,2050.0,0.8
2001,278828.0,7805.0,2.9
2002,275442.0,-3386.0,-1.2
2003,281541.0,6099.0,2.2
2004,295429.0,13888.0,4.9
2005,301743.0,6314.0,2.1
2006,321435.0,19692.0,6.5
2007,335056.0,13621.0,4.2
2008,332741.0,-2315.0,-0.7
2009,299030.0,-33711.0,-10.1
2010,304129.0,5099.0,1.7
2011,314998.0,10869.0,3.6
2012,297502.0,-17496.0,-5.6
2013,295637.0,-1865.0,-0.6
2014,300771.0,5134.0,1.7
2015,305054.0,4283.0,1.4
2016,305929.0,875.0,0.3
2017,303210.0,-2719.0,-0.9
2018,306360.0,3150.0,1.0
2019,300802.0,-5558.0,-1.8
2020,293539.0,-7263.0,-2.4
2021,296136.0,2597.0,0.9
2022,293345.0,-2791.0,-0.9
2023,275930.0,-17415.0,-5.9
2024,270326.0,-5604.0,-2.0
