geo,nrg_cons,tax,period,year,semester,price_eur_per_kwh
DE,MWH20-499,I_TAX,2007-S1,2007,S1,0.1642
DE,MWH20-499,I_TAX,2007-S2,2007,S2,0.1614
DE,MWH20-499,I_TAX,2008-S1,2008,S1,0.1658
DE,MWH20-499,I_TAX,2008-S2,2008,S2,0.168
DE,MWH20-499,I_TAX,2009-S1,2009,S1,0.174
DE,MWH20-499,I_TAX,2009-S2,2009,S2,0.1752
DE,MWH20-499,I_TAX,2010-S1,2010,S1,0.175
DE,MWH20-499,I_TAX,2010-S2,2010,S2,0.1798
DE,MWH20-499,I_TAX,2011-S1,2011,S1,0.1906
DE,MWH20-499,I_TAX,2011-S2,2011,S2,0.191
DE,MWH20-499,I_TAX,2012-S1,2012,S1,0.1952
DE,MWH20-499,I_TAX,2012-S2,2012,S2,0.1968
DE,MWH20-499,I_TAX,2013-S1,2013,S1,0.2147
DE,MWH20-499,I_TAX,2013-S2,2013,S2,0.2185
DE,MWH20-499,I_TAX,2014-S1,2014,S1,0.2409
DE,MWH20-499,I_TAX,2014-S2,2014,S2,0.2302
DE,MWH20-499,I_TAX,2015-S1,2015,S1,0.2276
DE,MWH20-499,I_TAX,2015-S2,2015,S2,0.2226
DE,MWH20-499,I_TAX,2016-S1,2016,S1,0.2259
DE,MWH20-499,I_TAX,2016-S2,2016,S2,0.2233
DE,MWH20-499,I_TAX,2017-S1,2017,S1,0.2305
DE,MWH20-499,I_TAX,2017-S2,2017,S2,0.2278
DE,MWH20-499,I_TAX,2018-S1,2018,S1,0.2231
DE,MWH20-499,I_TAX,2018-S2,2018,S2,0.2256
DE,MWH20-499,I_TAX,2019-S1,2019,S1,0.2298
DE,MWH20-499,I_TAX,2019-S2,2019,S2,0.2232
DE,MWH20-499,I_TAX,2020-S1,2020,S1,0.2404
DE,MWH20-499,I_TAX,2020-S2,2020,S2,0.2378
DE,MWH20-499,I_TAX,2021-S1,2021,S1,0.245
DE,MWH20-499,I_TAX,2021-S2,2021,S2,0.2485
DE,MWH20-499,I_TAX,2022-S1,2022,S1,0.2774
DE,MWH20-499,I_TAX,2022-S2,2022,S2,0.2685
DE,MWH20-499,I_TAX,2023-S1,2023,S1,0.2997
DE,MWH20-499,I_TAX,2023-S2,2023,S2,0.3
DE,MWH20-499,I_TAX,2024-S1,2024,S1,0.3244
DE,MWH20-499,I_TAX,2024-S2,2024,S2,0.3233
DE,MWH20-499,I_TAX,2025-S1,2025,S1,0.3141
DE,MWH20-499,I_TAX,2025-S2,2025,S2,0.312
DE,MWH20-499,X_TAX,2007-S1,2007,S1,0.1104
DE,MWH20-499,X_TAX,2007-S2,2007,S2,0.1094
DE,MWH20-499,X_TAX,2008-S1,2008,S1,0.1115
DE,MWH20-499,X_TAX,2008-S2,2008,S2,0.1138
DE,MWH20-499,X_TAX,2009-S1,2009,S1,0.1158
DE,MWH20-499,X_TAX,2009-S2,2009,S2,0.1137
DE,MWH20-499,X_TAX,2010-S1,2010,S1,0.1096
DE,MWH20-499,X_TAX,2010-S2,2010,S2,0.1107
DE,MWH20-499,X_TAX,2011-S1,2011,S1,0.1099
DE,MWH20-499,X_TAX,2011-S2,2011,S2,0.11
DE,MWH20-499,X_TAX,2012-S1,2012,S1,0.1091
DE,MWH20-499,X_TAX,2012-S2,2012,S2,0.1068
DE,MWH20-499,X_TAX,2013-S1,2013,S1,0.1056
DE,MWH20-499,X_TAX,2013-S2,2013,S2,0.1119
DE,MWH20-499,X_TAX,2014-S1,2014,S1,0.1096
DE,MWH20-499,X_TAX,2014-S2,2014,S2,0.1029
DE,MWH20-499,X_TAX,2015-S1,2015,S1,0.1031
DE,MWH20-499,X_TAX,2015-S2,2015,S2,0.1008
DE,MWH20-499,X_TAX,2016-S1,2016,S1,0.0988
DE,MWH20-499,X_TAX,2016-S2,2016,S2,0.0982
DE,MWH20-499,X_TAX,2017-S1,2017,S1,0.0997
DE,MWH20-499,X_TAX,2017-S2,2017,S2,0.0977
DE,MWH20-499,X_TAX,2018-S1,2018,S1,0.0948
DE,MWH20-499,X_TAX,2018-S2,2018,S2,0.0965
DE,MWH20-499,X_TAX,2019-S1,2019,S1,0.1016
DE,MWH20-499,X_TAX,2019-S2,2019,S2,0.0871
DE,MWH20-499,X_TAX,2020-S1,2020,S1,0.0993
DE,MWH20-499,X_TAX,2020-S2,2020,S2,0.1015
DE,MWH20-499,X_TAX,2021-S1,2021,S1,0.1041
DE,MWH20-499,X_TAX,2021-S2,2021,S2,0.1074
DE,MWH20-499,X_TAX,2022-S1,2022,S1,0.158
DE,MWH20-499,X_TAX,2022-S2,2022,S2,0.1876
DE,MWH20-499,X_TAX,2023-S1,2023,S1,0.2124
DE,MWH20-499,X_TAX,2023-S2,2023,S2,0.2126
DE,MWH20-499,X_TAX,2024-S1,2024,S1,0.2313
DE,MWH20-499,X_TAX,2024-S2,2024,S2,0.2302
DE,MWH20-499,X_TAX,2025-S1,2025,S1,0.2118
DE,MWH20-499,X_TAX,2025-S2,2025,S2,0.2101
DE,MWH20-499,X_VAT,2007-S1,2007,S1,0.1227
DE,MWH20-499,X_VAT,2007-S2,2007,S2,0.1225
DE,MWH20-499,X_VAT,2008-S1,2008,S1,0.1252
DE,MWH20-499,X_VAT,2008-S2,2008,S2,0.128
DE,MWH20-499,X_VAT,2009-S1,2009,S1,0.1322
DE,MWH20-499,X_VAT,2009-S2,2009,S2,0.1323
