co2_class,euro_class,weight_axle_class,co2_component_ct_km,total_ct_km,note
1,Euro 6,3.5-7.49t,7.4,15.1,
1,Euro 6,7.5-11.99t,8.0,17.7,
1,Euro 6,12-18t,10.0,23.8,
1,Euro 6,>18t <=3 axles,12.4,30.3,
1,Euro 6,>18t 4 axles,13.4,32.4,
1,Euro 6,>18t 5+ axles,15.8,34.8,long-haul 40t reference row
1,Euro 5/EEV 1,3.5-7.49t,8.0,18.9,
1,Euro 5/EEV 1,7.5-11.99t,8.0,20.5,
1,Euro 5/EEV 1,12-18t,10.0,27.5,
1,Euro 5/EEV 1,>18t <=3 axles,13.4,35.3,
1,Euro 5/EEV 1,>18t 4 axles,13.4,36.3,
1,Euro 5/EEV 1,>18t 5+ axles,16.0,38.9,
1,Euro 4,3.5-7.49t,8.0,20.1,
1,Euro 4,7.5-11.99t,8.0,22.1,
1,Euro 4,12-18t,10.0,28.6,
1,Euro 4,>18t <=3 axles,13.4,37.1,
1,Euro 4,>18t 4 axles,13.4,38.8,
1,Euro 4,>18t 5+ axles,16.0,41.4,
1,Euro 3,3.5-7.49t,8.0,22.5,
1,Euro 3,7.5-11.99t,8.0,25.0,
1,Euro 3,12-18t,10.4,32.8,
1,Euro 3,>18t <=3 axles,13.8,42.9,
1,Euro 3,>18t 4 axles,13.8,45.4,
1,Euro 3,>18t 5+ axles,16.2,47.8,
1,Euro 2,3.5-7.49t,8.0,24.4,
1,Euro 2,7.5-11.99t,8.0,27.5,
1,Euro 2,12-18t,10.4,34.8,
1,Euro 2,>18t <=3 axles,13.8,45.9,
1,Euro 2,>18t 4 axles,13.8,48.7,
1,Euro 2,>18t 5+ axles,16.2,51.1,
1,Euro 1/0,3.5-7.49t,8.0,24.8,
1,Euro 1/0,7.5-11.99t,8.0,27.6,
1,Euro 1/0,12-18t,10.4,35.0,
1,Euro 1/0,>18t <=3 axles,15.8,48.4,
1,Euro 1/0,>18t 4 axles,15.8,51.2,
1,Euro 1/0,>18t 5+ axles,16.2,51.6,
2,Euro 6,3.5-7.49t,7.0,14.7,
2,Euro 6,7.5-11.99t,7.6,17.3,
2,Euro 6,12-18t,9.6,23.4,
2,Euro 6,>18t <=3 axles,11.8,29.7,
2,Euro 6,>18t 4 axles,12.8,31.8,
2,Euro 6,>18t 5+ axles,15.0,34.0,
3,Euro 6,3.5-7.49t,6.7,14.4,
3,Euro 6,7.5-11.99t,7.2,16.9,
3,Euro 6,12-18t,9.0,22.8,
3,Euro 6,>18t <=3 axles,11.1,29.0,
3,Euro 6,>18t 4 axles,12.0,31.0,
3,Euro 6,>18t 5+ axles,14.2,33.2,
4,Euro 6,3.5-7.49t,3.7,11.4,
4,Euro 6,7.5-11.99t,4.0,13.7,
4,Euro 6,12-18t,5.0,18.8,
4,Euro 6,>18t <=3 axles,6.3,24.2,
4,Euro 6,>18t 4 axles,6.8,25.8,
4,Euro 6,>18t 5+ axles,7.9,26.9,
5,zero-emission,3.5-7.49t,0.0,0.0,exempt until 2031-06-30
5,zero-emission,7.5-11.99t,0.0,0.0,exempt until 2031-06-30
5,zero-emission,12-18t,0.0,0.0,exempt until 2031-06-30
5,zero-emission,>18t <=3 axles,0.0,0.0,exempt until 2031-06-30
5,zero-emission,>18t 4 axles,0.0,0.0,exempt until 2031-06-30
5,zero-emission,>18t 5+ axles,0.0,0.0,exempt until 2031-06-30
